iteration,iteration-mean-cost,best-cost
1,19933.3,16826.4
2,19178.9,16239.3
3,19980.7,16239.3
4,20052.8,16239.3
5,19831.2,16239.3
6,19681.6,16017.8
7,20213.9,16017.8
8,19381.8,15186.1
9,19499.6,15186.1
10,19118.7,14701.2
11,18939.1,14701.2
12,18096.0,14256.0
13,18305.6,14256.0
14,16988.2,13641.5
15,16390.6,12246.6
16,15835.9,11839.5
17,14613.0,11839.5
18,14522.5,11839.5
19,13818.7,11497.3
20,14446.6,11457.1
21,13748.5,11443.1
22,14405.6,11443.1
23,13719.4,10387.5
24,13722.6,10387.5
25,13804.9,10387.5
26,13344.8,10387.5
27,13460.8,10387.5
28,13358.6,10387.5
29,13154.0,10387.5
30,13000.6,10387.5
31,13076.8,10387.5
32,13563.8,10387.5
33,13215.5,10387.5
34,13780.4,10387.5
35,13233.3,10387.5
36,12945.2,10345.3
37,13411.2,10345.3
38,13296.9,10345.3
39,13213.9,10345.3
40,13387.3,10345.3
41,13914.2,10345.3
42,13732.8,10345.3
43,13414.4,10345.3
44,13334.1,10345.3
45,13415.1,10345.3
46,13266.9,10345.3
47,13518.1,10345.3
48,13757.3,10345.3
49,13803.6,10345.3
50,13319.2,10345.3
51,13394.3,10345.3
52,13325.2,10345.3
53,13944.6,10345.3
54,12559.9,10345.3
55,13011.9,10345.3
56,13496.6,10345.3
57,13398.4,10345.3
58,13038.3,10345.3
59,13144.8,10345.3
60,13210.3,10345.3
61,13436.5,10223.1
62,13197.7,10223.1
63,12628.9,10213.3
64,13256.6,10213.3
65,12937.2,10213.3
66,13098.8,10213.3
67,13542.4,10213.3
68,13460.6,10213.3
69,13184.3,10213.3
70,13322.6,10213.3
71,13972.8,10213.3
72,13083.7,10213.3
73,12997.5,10213.3
74,13332.3,10213.3
75,13459.3,10213.3
76,13169.5,10213.3
77,13171.3,10213.3
78,12889.6,10213.3
79,13149.8,10213.3
80,13380.1,10213.3
81,13604.9,10213.3
82,13413.0,10213.3
83,13218.2,10213.3
84,13210.8,10213.3
85,12866.9,10213.3
86,13276.0,10213.3
87,13608.1,10213.3
88,13297.7,10213.3
89,13152.5,10213.3
90,13489.2,10213.3
91,13690.1,10213.3
92,13140.9,10213.3
93,13035.3,10213.3
94,13277.2,10213.3
95,12909.4,10213.3
96,13744.4,10213.3
97,13358.9,10213.3
98,13068.4,10213.3
99,12762.5,10213.3
100,12859.8,10213.3
101,13100.9,10213.3
102,13050.4,10213.3
103,13157.5,10213.3
104,13226.1,10213.3
105,13321.9,10213.3
106,13153.8,10213.3
107,13330.0,10051.7
108,12907.6,10051.7
109,12721.3,10051.7
110,12988.3,10051.7
111,13365.7,10051.7
112,12803.3,10051.7
113,13247.0,10051.7
114,13570.2,10051.7
115,13222.3,10051.7
116,13156.2,10051.7
117,12985.8,10051.7
118,12578.2,9963.6
119,13238.0,9963.6
120,12915.4,9963.6
121,13086.3,9963.6
122,13189.9,9963.6
123,12925.2,9963.6
124,13075.5,9963.6
125,12954.7,9963.6
126,13561.6,9963.6
127,13133.0,9963.6
128,12832.0,9963.6
129,13250.8,9963.6
130,13099.6,9963.6
131,12791.3,9963.6
132,13232.1,9963.6
133,12951.7,9963.6
134,13521.9,9963.6
135,13029.7,9963.6
136,13953.9,9963.6
137,13542.9,9963.6
138,13334.9,9963.6
139,12725.9,9541.1
140,13461.9,9541.1
141,12596.5,9541.1
142,13211.5,9541.1
143,13085.6,9541.1
144,13263.7,9541.1
145,12972.8,9541.1
146,13479.3,9541.1
147,13187.2,9541.1
148,12643.7,9541.1
149,12440.3,9541.1
150,13023.8,9541.1
151,13130.4,9541.1
152,13117.7,9541.1
153,13368.5,9541.1
154,12996.0,9541.1
155,13489.4,9541.1
156,13119.1,9541.1
157,13012.2,9541.1
158,13026.5,9541.1
159,13589.8,9541.1
160,13517.2,9541.1
161,13163.9,9541.1
162,13494.9,9541.1
163,12691.7,9541.1
164,12882.6,9541.1
165,12932.5,9541.1
166,13402.7,9541.1
167,13498.0,9541.1
168,12938.9,9541.1
169,12864.0,9541.1
170,12628.7,9541.1
171,13067.2,9541.1
172,12917.1,9515.6
173,14145.9,9515.6
174,13571.6,9515.6
175,13093.4,9515.6
176,12634.3,9515.6
177,12812.8,9515.6
178,12942.8,9515.6
179,13314.4,9515.6
180,12864.6,9515.6
181,12767.0,9515.6
182,13246.0,9515.6
183,13204.9,9515.6
184,13111.9,9515.6
185,12882.7,9515.6
186,13468.5,9515.6
187,13099.5,9515.6
188,13433.9,9515.6
189,12899.5,9515.6
190,13056.4,9515.6
191,13310.8,9515.6
192,13385.6,9515.6
193,12879.4,9515.6
194,13584.2,9515.6
195,13066.2,9515.6
196,13839.7,9515.6
197,13294.9,9515.6
198,13130.4,9515.6
199,13099.4,9515.6
200,13209.4,9515.6
201,13258.5,9515.6
202,13376.6,9515.6
203,13550.0,9515.6
204,13571.2,9515.6
205,13490.1,9515.6
206,12799.8,9515.6
207,13315.1,9515.6
208,13041.7,9515.6
209,12840.5,9515.6
210,12979.8,9515.6
211,13209.9,9515.6
212,13242.8,9515.6
213,13136.3,9515.6
214,13311.0,9515.6
215,13232.3,9515.6
216,13487.5,9515.6
217,13416.6,9515.6
218,13064.3,9515.6
219,13426.5,9515.6
220,13098.4,9515.6
221,13459.9,9515.6
222,13243.9,9515.6
223,13009.2,9515.6
224,12770.5,9515.6
225,12811.8,9515.6
226,12872.0,9515.6
227,13668.5,9515.6
